"","opt_save.final_gradient","names.obj_save.par.","opt_save.par"
"1",-3.39764490454491e-05,"log_F_t_input",-1.02021280272091
"2",1.35660192039742e-05,"log_F_t_input",-1.02109241354712
"3",4.80128661680389e-05,"log_F_t_input",-1.02236083020906
"4",3.55198806267559e-06,"log_F_t_input",-1.0234063183129
"5",-3.89310979514075e-05,"log_F_t_input",-1.02135759679662
"6",-1.82180494520279e-05,"log_F_t_input",-1.00746989265262
"7",2.3407912612879e-05,"log_F_t_input",-0.961746211281158
"8",2.37080331862254e-05,"log_F_t_input",-0.855545852145696
"9",8.5389790829421e-06,"log_F_t_input",-0.681866269422202
"10",5.40569478736652e-06,"log_F_t_input",-0.495154064476276
"11",-4.12745201891496e-07,"log_F_t_input",-0.382752629117934
"12",6.11761192451793e-06,"log_F_t_input",-0.470144047559885
"13",-1.74399663021574e-05,"log_F_t_input",-0.683366707685122
"14",-3.47127210256759e-06,"log_F_t_input",-1.02321315198971
"15",-5.50277907210295e-06,"log_F_t_input",-1.15192293457326
"16",2.65698239476642e-05,"log_F_t_input",-1.33750479215216
"17",1.28556092101433e-05,"log_F_t_input",-0.78598978329647
"18",-1.3159871780799e-05,"log_F_t_input",-0.534137233293824
"19",1.1185196918833e-05,"log_F_t_input",-0.534134303548018
"20",2.10594777462353e-05,"log_sigma_R",-0.716639428244667
"21",0.000132093807581724,"logS50",1.33512384705029
