"","opt_save.final_gradient","names.obj_save.par.","opt_save.par"
"1",-4.25062227739225e-06,"log_F_t_input",-1.0201965180169
"2",-1.65981024657347e-06,"log_F_t_input",-1.0210965764538
"3",5.59088498188983e-06,"log_F_t_input",-1.02237477300222
"4",3.18437179387492e-06,"log_F_t_input",-1.02340025725194
"5",-2.8369747954878e-06,"log_F_t_input",-1.02133080146648
"6",-5.17122199463795e-06,"log_F_t_input",-1.00744676271854
"7",6.04629860739836e-06,"log_F_t_input",-0.961734006048579
"8",4.1572840887745e-06,"log_F_t_input",-0.855531664547293
"9",-7.28089928375697e-07,"log_F_t_input",-0.681841152462877
"10",5.8412609446612e-07,"log_F_t_input",-0.495120057283541
"11",-3.55403919555936e-06,"log_F_t_input",-0.38271651088889
"12",4.05166904415138e-06,"log_F_t_input",-0.470090483653822
"13",-6.29649907092633e-06,"log_F_t_input",-0.683392053829828
"14",5.32195488453513e-06,"log_F_t_input",-1.02351440817525
"15",-5.9646816448905e-06,"log_F_t_input",-1.15223869559158
"16",9.23291886149175e-06,"log_F_t_input",-1.33732209615803
"17",7.40468441348327e-06,"log_F_t_input",-0.785892319039774
"18",-4.40353121838183e-06,"log_F_t_input",-0.534082512067223
"19",6.49150717596329e-06,"log_F_t_input",-0.534080811925524
"20",-1.93925834379298e-07,"log_q_I",-9.98421940884164
"21",2.24452922426566e-05,"log_sigma_R",-0.716647614882109
"22",-9.39097413792389e-05,"logS50",1.33512352086656
