"","opt_save.final_gradient","names.obj_save.par.","opt_save.par"
"1",-9.99336712013488e-05,"log_F_t_input",0.895644749143948
"2",8.39607791480453e-05,"log_F_t_input",0.895646248852847
"3",6.42264018438584e-05,"log_F_t_input",0.895646488567707
"4",-3.85944801762862e-05,"log_F_t_input",0.89564576459846
"5",-4.49666644605619e-05,"log_F_t_input",0.895645623326272
"6",7.96464006710408e-05,"log_F_t_input",0.895646228036785
"7",-3.53130695494216e-05,"log_F_t_input",0.89564695336859
"8",6.99146317144286e-05,"log_F_t_input",0.895669375009895
"9",-5.16912127712121e-05,"log_F_t_input",0.895958022648314
"10",-1.17523860920597e-05,"log_F_t_input",0.898286028040572
"11",5.76740796281571e-05,"log_F_t_input",0.903058388271452
"12",-7.60188568413311e-08,"log_F_t_input",0.887815364265396
"13",-1.11316792983946e-05,"log_F_t_input",0.859219866527407
"14",-0.000100192288500439,"log_F_t_input",0.823921605945097
"15",8.62014226412147e-05,"log_F_t_input",0.793802412058134
"16",-2.68543085070183e-05,"log_F_t_input",0.767319995528805
"17",3.78141187805381e-05,"log_F_t_input",0.769934101595078
"18",-2.66004871498256e-05,"log_F_t_input",0.780993202250673
"19",3.49928473278901e-05,"log_F_t_input",0.780993862730085
"20",3.84134412369689e-07,"log_q_I",-9.75945104742581
"21",3.06201790868793e-05,"log_sigma_R",-0.583681903004007
"22",-0.00142784136457319,"logS50",1.44560470210062
"23",8.85173399878258e-06,"log_CV_L",-1.77553207466771
